id,user_id,message,is_read,created_at
1,78,"Update on your complaint ""Exam timetable clash"": status changed to In Progress.",1,2024-04-12 20:49:58
2,84,"Complaint ""Missing study materials on LMS"" status has been updated. Check your dashboard.",1,2024-06-30 00:19:13
3,56,A new complaint has been submitted to your department.,0,2024-10-04 06:08:35
4,59,"Your complaint ""Missing study materials on LMS"" has been escalated to the department head.",1,2024-03-28 20:31:42
5,41,"Reminder: Complaint ""Air conditioning not functioning"" has been pending for over 48 hours.",1,2024-07-30 23:29:24
6,48,Action required: Please review the complaint assigned to you.,0,2024-03-25 20:33:11
7,11,"Your complaint ""Lighting issues in study room"" has been escalated to the department head.",0,2024-10-30 10:38:27
8,17,"Your complaint ""Elevator out of service"" has been received and is under review.",1,2025-03-26 04:43:46
9,72,"Update on your complaint ""Water leakage in corridor"": status changed to In Progress.",0,2024-10-15 15:32:45
10,86,"Your complaint ""Projector not working in classroom"" has been escalated to the department head.",1,2024-02-23 23:01:27
11,37,"Complaint ""Canteen food quality issues"" requires your attention as department admin.",0,2024-04-04 11:15:16
12,74,A new complaint has been submitted to your department.,0,2025-01-23 12:39:42
13,29,"Reminder: Complaint ""Course registration system error"" has been pending for over 48 hours.",1,2024-10-26 11:50:04
14,15,"Complaint ""Printing facility out of paper"" requires your attention as department admin.",1,2024-07-08 15:54:39
15,55,"Your complaint ""Elevator out of service"" has been closed. Thank you for your report.",1,2025-03-22 10:22:52
16,4,"Complaint ""WiFi connectivity issues in lab"" requires your attention as department admin.",0,2024-06-03 03:11:57
17,35,"Complaint ""Elevator out of service"" requires your attention as department admin.",0,2024-10-13 15:33:03
18,1,"Your complaint ""Lighting issues in study room"" has been resolved. Please provide feedback.",1,2024-11-21 07:09:42
19,9,"Your complaint ""Printing facility out of paper"" has been received and is under review.",0,2025-03-02 00:54:50
20,28,"Your complaint ""Lighting issues in study room"" has been escalated to the department head.",0,2024-10-05 18:45:42
